s (1,1) 392
s (2,1) 40
s (3,1) 309
s (4,1) 291
s (5,1) 310
s (6,1) 352
s (7,1) 283
s (8,1) 90
s (9,1) 31
s (10,1) 383
s (11,1) 358
s (12,1) 167
s (13,1) 22
s (14,1) 92
s (15,1) 65
s (16,1) 264
s (17,1) 243
s (18,1) 69
s (19,1) 145
s (20,1) 376
s (21,1) 364
s (22,1) 399
s (23,1) 335
s (24,1) 233
s (25,1) 127
s (26,1) 286
s (27,1) 273
s (28,1) 362
s (29,1) 130
s (30,1) 28
s (31,1) 7
s (32,1) 85
s (33,1) 209
s (34,1) 330
s (35,1) 240
s (36,1) 168
s (37,1) 6
s (38,1) 65
s (39,1) 221
s (40,1) 221
s (41,1) 231
s (42,1) 51
s (43,1) 301
s (44,1) 72
s (45,1) 201
s (46,1) 227
s (47,1) 232
s (48,1) 381
s (49,1) 131
s (50,1) 78
s (51,1) 184
s (52,1) 92
s (53,1) 93
s (54,1) 180
s (55,1) 273
s (56,1) 346
s (57,1) 231
s (58,1) 151
s (59,1) 256
s (60,1) 269
s (61,1) 198
s (62,1) 271
s (63,1) 97
s (64,1) 259
s (65,1) 313
s (66,1) 359
s (67,1) 299
s (68,1) 80
s (69,1) 346
s (70,1) 263
s (71,1) 295
s (72,1) 114
s (73,1) 400
s (74,1) 127
s (75,1) 238
s (76,1) 162
s (77,1) 288
s (78,1) 29
s (79,1) 368
s (80,1) 26
s (81,1) 196
s (82,1) 380
s (83,1) 352
s (84,1) 381
s (85,1) 36
s (86,1) 121
s (87,1) 172
s (88,1) 375
s (89,1) 337
s (90,1) 67
s (91,1) 283
s (92,1) 355
s (93,1) 1
s (94,1) 30
s (95,1) 288
s (96,1) 339
s (97,1) 260
s (98,1) 291
s (99,1) 203
s (100,1) 143
s (101,1) 53
s (102,1) 56
s (103,1) 158
s (104,1) 381
s (105,1) 284
s (106,1) 71
s (107,1) 332
s (108,1) 9
s (109,1) 224
s (110,1) 62
s (111,1) 205
s (112,1) 241
s (113,1) 266
s (114,1) 387
s (115,1) 111
s (116,1) 192
s (117,1) 52
s (118,1) 226
s (119,1) 103
s (120,1) 133
s (121,1) 400
s (122,1) 372
s (123,1) 165
s (124,1) 239
s (125,1) 310
s (126,1) 237
s (127,1) 5
s (128,1) 295
s (129,1) 277
s (130,1) 131
s (131,1) 370
s (132,1) 170
s (133,1) 171
s (134,1) 294
s (135,1) 101
s (136,1) 210
s (137,1) 384
s (138,1) 160
s (139,1) 203
s (140,1) 160
s (141,1) 316
s (142,1) 186
s (143,1) 372
s (144,1) 199
s (145,1) 248
s (146,1) 280
s (147,1) 24
s (148,1) 40
s (149,1) 178
s (150,1) 98
s (151,1) 116
s (152,1) 262
s (153,1) 314
s (154,1) 320
s (155,1) 258
s (156,1) 85
s (157,1) 137
s (158,1) 114
s (159,1) 103
s (160,1) 340
(1,1) (1,2) 370
(2,1) (2,2) 89
(3,1) (3,2) 229
(4,1) (4,2) 180
(5,1) (5,2) 384
(6,1) (6,2) 309
(7,1) (7,2) 177
(8,1) (8,2) 196
(9,1) (9,2) 47
(10,1) (10,2) 396
(11,1) (11,2) 127
(12,1) (12,2) 203
(13,1) (13,2) 311
(14,1) (14,2) 132
(15,1) (15,2) 137
(16,1) (16,2) 385
(17,1) (17,2) 67
(18,1) (18,2) 13
(19,1) (19,2) 255
(20,1) (20,2) 41
(21,1) (21,2) 288
(22,1) (22,2) 302
(23,1) (23,2) 152
(24,1) (24,2) 79
(25,1) (25,2) 193
(26,1) (26,2) 10
(27,1) (27,2) 390
(28,1) (28,2) 378
(29,1) (29,2) 383
(30,1) (30,2) 351
(31,1) (31,2) 247
(32,1) (32,2) 31
(33,1) (33,2) 397
(34,1) (34,2) 283
(35,1) (35,2) 232
(36,1) (36,2) 18
(37,1) (37,2) 121
(38,1) (38,2) 315
(39,1) (39,2) 277
(40,1) (40,2) 313
(41,1) (41,2) 271
(42,1) (42,2) 369
(43,1) (43,2) 220
(44,1) (44,2) 30
(45,1) (45,2) 8
(46,1) (46,2) 193
(47,1) (47,2) 335
(48,1) (48,2) 49
(49,1) (49,2) 351
(50,1) (50,2) 56
(51,1) (51,2) 167
(52,1) (52,2) 296
(53,1) (53,2) 148
(54,1) (54,2) 298
(55,1) (55,2) 278
(56,1) (56,2) 340
(57,1) (57,2) 186
(58,1) (58,2) 182
(59,1) (59,2) 133
(60,1) (60,2) 82
(61,1) (61,2) 75
(62,1) (62,2) 24
(63,1) (63,2) 300
(64,1) (64,2) 282
(65,1) (65,2) 187
(66,1) (66,2) 268
(67,1) (67,2) 16
(68,1) (68,2) 295
(69,1) (69,2) 185
(70,1) (70,2) 74
(71,1) (71,2) 326
(72,1) (72,2) 163
(73,1) (73,2) 210
(74,1) (74,2) 290
(75,1) (75,2) 198
(76,1) (76,2) 95
(77,1) (77,2) 208
(78,1) (78,2) 84
(79,1) (79,2) 139
(80,1) (80,2) 172
(81,1) (81,2) 160
(82,1) (82,2) 28
(83,1) (83,2) 38
(84,1) (84,2) 217
(85,1) (85,2) 385
(86,1) (86,2) 57
(87,1) (87,2) 34
(88,1) (88,2) 169
(89,1) (89,2) 8
(90,1) (90,2) 393
(91,1) (91,2) 227
(92,1) (92,2) 336
(93,1) (93,2) 225
(94,1) (94,2) 211
(95,1) (95,2) 216
(96,1) (96,2) 378
(97,1) (97,2) 16
(98,1) (98,2) 32
(99,1) (99,2) 367
(100,1) (100,2) 392
(101,1) (101,2) 37
(102,1) (102,2) 278
(103,1) (103,2) 343
(104,1) (104,2) 263
(105,1) (105,2) 253
(106,1) (106,2) 163
(107,1) (107,2) 225
(108,1) (108,2) 159
(109,1) (109,2) 165
(110,1) (110,2) 130
(111,1) (111,2) 208
(112,1) (112,2) 38
(113,1) (113,2) 154
(114,1) (114,2) 253
(115,1) (115,2) 47
(116,1) (116,2) 78
(117,1) (117,2) 284
(118,1) (118,2) 272
(119,1) (119,2) 353
(120,1) (120,2) 18
(121,1) (121,2) 353
(122,1) (122,2) 197
(123,1) (123,2) 100
(124,1) (124,2) 200
(125,1) (125,2) 389
(126,1) (126,2) 66
(127,1) (127,2) 367
(128,1) (128,2) 386
(129,1) (129,2) 351
(130,1) (130,2) 91
(131,1) (131,2) 234
(132,1) (132,2) 23
(133,1) (133,2) 239
(134,1) (134,2) 372
(135,1) (135,2) 109
(136,1) (136,2) 362
(137,1) (137,2) 164
(138,1) (138,2) 392
(139,1) (139,2) 97
(140,1) (140,2) 68
(141,1) (141,2) 362
(142,1) (142,2) 191
(143,1) (143,2) 274
(144,1) (144,2) 131
(145,1) (145,2) 272
(146,1) (146,2) 399
(147,1) (147,2) 166
(148,1) (148,2) 205
(149,1) (149,2) 40
(150,1) (150,2) 274
(151,1) (151,2) 247
(152,1) (152,2) 130
(153,1) (153,2) 23
(154,1) (154,2) 128
(155,1) (155,2) 124
(156,1) (156,2) 110
(157,1) (157,2) 268
(158,1) (158,2) 313
(159,1) (159,2) 390
(160,1) (160,2) 312
(1,2) (1,3) 381
(2,2) (2,3) 385
(3,2) (3,3) 6
(4,2) (4,3) 91
(5,2) (5,3) 13
(6,2) (6,3) 152
(7,2) (7,3) 252
(8,2) (8,3) 286
(9,2) (9,3) 123
(10,2) (10,3) 117
(11,2) (11,3) 250
(12,2) (12,3) 81
(13,2) (13,3) 52
(14,2) (14,3) 382
(15,2) (15,3) 119
(16,2) (16,3) 278
(17,2) (17,3) 279
(18,2) (18,3) 103
(19,2) (19,3) 319
(20,2) (20,3) 282
(21,2) (21,3) 265
(22,2) (22,3) 53
(23,2) (23,3) 7
(24,2) (24,3) 399
(25,2) (25,3) 95
(26,2) (26,3) 157
(27,2) (27,3) 127
(28,2) (28,3) 39
(29,2) (29,3) 25
(30,2) (30,3) 205
(31,2) (31,3) 48
(32,2) (32,3) 175
(33,2) (33,3) 127
(34,2) (34,3) 279
(35,2) (35,3) 117
(36,2) (36,3) 374
(37,2) (37,3) 98
(38,2) (38,3) 134
(39,2) (39,3) 295
(40,2) (40,3) 120
(41,2) (41,3) 5
(42,2) (42,3) 46
(43,2) (43,3) 208
(44,2) (44,3) 283
(45,2) (45,3) 101
(46,2) (46,3) 100
(47,2) (47,3) 224
(48,2) (48,3) 389
(49,2) (49,3) 83
(50,2) (50,3) 231
(51,2) (51,3) 206
(52,2) (52,3) 40
(53,2) (53,3) 275
(54,2) (54,3) 42
(55,2) (55,3) 70
(56,2) (56,3) 11
(57,2) (57,3) 205
(58,2) (58,3) 176
